application_id,period,age,monthly_income,credit_history_months,debt_to_income,delinquencies_12m,previous_defaults,recent_inquiries,product_type,channel,target_default_90d
APP-00001,2025-01,44,52899,103,0.3065,0,0,2,credit_card,web,0
APP-00002,2025-01,29,45084,0,0.582,0,0,3,auto_loan,web,0
APP-00003,2025-01,30,63601,75,0.193,0,0,0,credit_card,web,0
APP-00004,2025-01,38,73029,25,0.1068,0,0,2,auto_loan,mobile,0
APP-00005,2025-01,26,50730,63,0.1708,0,0,2,credit_card,mobile,0
APP-00006,2025-01,36,75557,34,0.3888,1,0,3,credit_card,partner,0
APP-00007,2025-01,36,62952,56,0.128,0,0,1,mortgage,partner,0
APP-00008,2025-01,39,58239,101,0.6197,0,0,1,mortgage,partner,1
APP-00009,2025-01,48,107807,0,0.0792,0,0,1,mortgage,mobile,0
APP-00010,2025-01,36,53912,2,0.105,0,0,2,auto_loan,mobile,0
APP-00011,2025-01,48,25697,4,0.6529,1,0,3,cash_loan,web,0
APP-00012,2025-01,36,63882,0,0.4018,0,0,2,credit_card,web,1
APP-00013,2025-01,24,81082,92,0.3259,0,0,2,cash_loan,partner,0
APP-00014,2025-01,27,71419,0,0.3685,0,0,4,cash_loan,partner,0
APP-00015,2025-01,46,126063,56,0.4661,3,0,1,credit_card,mobile,0
APP-00016,2025-01,47,68822,51,0.312,0,0,0,auto_loan,office,0
APP-00017,2025-01,33,36083,17,0.6567,2,0,3,cash_loan,office,1
APP-00018,2025-01,41,50265,82,0.261,0,0,5,cash_loan,web,0
APP-00019,2025-01,46,45395,48,0.1561,0,0,2,mortgage,web,0
APP-00020,2025-01,31,52256,79,0.2389,0,0,0,mortgage,office,0
APP-00021,2025-01,34,25000,28,0.5021,0,0,2,cash_loan,mobile,0
APP-00022,2025-01,23,41299,29,0.4776,0,0,3,mortgage,partner,0
APP-00023,2025-01,18,94349,12,0.1187,0,0,4,auto_loan,office,0
APP-00024,2025-01,45,51814,26,0.3431,0,0,2,credit_card,partner,0
APP-00025,2025-01,26,66908,130,0.6242,0,0,3,cash_loan,mobile,0
APP-00026,2025-01,56,76010,40,0.4767,0,0,2,credit_card,office,0
APP-00027,2025-01,29,93380,41,0.3489,0,1,2,mortgage,web,0
APP-00028,2025-01,34,45892,120,0.0833,2,1,2,mortgage,partner,0
APP-00029,2025-01,37,61679,45,0.1345,0,0,1,cash_loan,partner,0
